State,Location,Hvy_2012,HvyPctChg_2005-2012,Binge_2012,BingePctChg_2005-2012
National,United States,14.7,17.2,32.8,8.9
Alabama,Alabama,15.0,6.5,30.7,1.5
Alabama,Autauga County,14.7,-2.7,31.1,-1.1
Alabama,Baldwin County,16.6,1.2,30.4,-1.8
Alabama,Barbour County,16.9,17.5,32.9,3.4
Alabama,Bibb County,15.4,1.4,31.9,-2.3
Alabama,Blount County,14.3,3.1,29.4,-3.4
Alabama,Bullock County,18.8,21.4,38.1,15.9
Alabama,Butler County,16.8,8.7,33.6,8.1
Alabama,Calhoun County,13.9,12.4,31.0,3.9
Alabama,Chambers County,17.7,10.9,33.9,0.0
Alabama,Cherokee County,15.3,12.1,30.9,-5.0
Alabama,Chilton County,15.5,5.2,33.3,-0.1
Alabama,Choctaw County,15.2,2.6,31.3,-3.0
Alabama,Clarke County,14.5,-0.8,32.8,2.6
Alabama,Clay County,15.3,10.2,32.1,1.4
Alabama,Cleburne County,16.7,5.9,33.9,0.6
Alabama,Coffee County,16.2,16.6,31.3,4.4
Alabama,Colbert County,14.6,12.0,32.1,6.1
Alabama,Conecuh County,18.6,14.3,36.0,10.8
Alabama,Coosa County,17.1,7.4,33.0,3.0
Alabama,Covington County,17.1,4.0,33.7,3.5
Alabama,Crenshaw County,17.2,13.3,33.3,4.8
Alabama,Cullman County,11.7,-5.4,28.6,-0.9
Alabama,Dale County,16.1,23.6,31.9,-0.2
Alabama,Dallas County,13.5,1.6,33.6,10.3
Alabama,DeKalb County,14.6,8.2,31.1,2.5
Alabama,Elmore County,16.3,10.3,30.6,1.0
Alabama,Escambia County,16.3,5.4,32.3,1.0
Alabama,Etowah County,13.6,6.6,32.2,3.2
Alabama,Fayette County,14.2,0.3,32.1,-3.8
Alabama,Franklin County,13.2,0.2,30.4,0.5
Alabama,Geneva County,19.2,21.5,35.9,13.2
Alabama,Greene County,18.3,13.0,33.1,3.5
Alabama,Hale County,16.9,6.9,32.3,1.8
Alabama,Henry County,18.1,18.8,33.6,7.1
Alabama,Houston County,14.8,11.7,33.3,10.5
Alabama,Jackson County,14.3,4.0,31.5,7.0
Alabama,Jefferson County,13.9,1.2,28.9,-4.7
Alabama,Lamar County,13.3,-1.5,30.0,-6.6
Alabama,Lauderdale County,14.1,4.5,29.6,1.4
Alabama,Lawrence County,12.8,-0.5,28.6,-6.1
Alabama,Lee County,17.2,19.2,32.1,4.1
Alabama,Limestone County,12.5,-2.9,27.6,-2.0
Alabama,Lowndes County,17.7,8.9,34.6,4.7
Alabama,Macon County,18.8,27.3,33.4,10.9
Alabama,Madison County,13.4,5.5,26.7,0.1
Alabama,Marengo County,14.2,-1.1,31.1,-0.6
Alabama,Marion County,14.2,1.6,32.2,-1.1
Alabama,Marshall County,15.0,6.1,33.5,14.6
Alabama,Mobile County,15.9,1.9,34.1,5.7
Alabama,Monroe County,14.3,-0.1,30.3,2.5
Alabama,Montgomery County,16.9,13.2,32.6,9.4
Alabama,Morgan County,13.7,2.1,29.3,3.6
Alabama,Perry County,17.9,17.0,37.1,7.7
Alabama,Pickens County,14.0,3.9,30.2,-2.2
Alabama,Pike County,19.6,23.8,34.7,12.3
Alabama,Randolph County,17.9,11.3,32.6,1.1
Alabama,Russell County,14.4,19.3,32.2,9.2
Alabama,Shelby County,14.5,12.4,26.3,0.3
Alabama,St. Clair County,14.2,6.8,29.0,-3.8
Alabama,Sumter County,17.0,7.7,35.4,12.4
Alabama,Talladega County,15.5,11.3,30.4,0.0
Alabama,Tallapoosa County,17.3,17.0,33.4,5.0
Alabama,Tuscaloosa County,15.1,5.7,30.6,-0.5
Alabama,Walker County,13.1,1.7,32.1,-5.4
Alabama,Washington County,14.4,-2.2,29.6,-2.3
Alabama,Wilcox County,18.7,23.2,39.6,4.2
Alabama,Winston County,15.6,8.0,35.4,7.7
Alaska,Alaska,15.4,15.2,31.1,-1.1
Alaska,Aleutians East Borough,26.4,10.5,47.2,-4.3
Alaska,Aleutians West Census Area,24.7,11.0,42.6,10.8
Alaska,Anchorage Municipality,13.5,18.8,29.3,2.4
Alaska,Bethel Census Area,20.7,19.1,46.5,-2.1
Alaska,Bristol Bay Borough,19.9,21.1,35.4,5.2
Alaska,"Denali Borough, Yukon-Koyukuk Census Area",19.7,16.1,41.8,-5.1
Alaska,Dillingham Census Area,19.6,19.1,44.4,-1.6
Alaska,Fairbanks North Star Borough,15.3,13.5,29.1,-3.8
Alaska,Haines Borough,18.3,11.0,31.8,-6.8
Alaska,"Hoonah-Angoon Census Area, Skagway Municipality, Yakutat City and Borough",19.7,8.5,34.4,-9.8
Alaska,Juneau City and Borough,15.3,8.4,31.0,0.2
Alaska,Kenai Peninsula Borough,16.2,9.7,30.9,-5.0
Alaska,"Ketchikan Gateway Borough, Petersburg Census Area, Prince of Wales-Hyder Census Area, Wrangell City and Borough",18.1,22.5,33.8,-3.7
Alaska,Kodiak Island Borough,18.6,17.8,33.4,-5.9
Alaska,Lake and Peninsula Borough,19.9,11.0,39.6,-0.2
Alaska,Matanuska-Susitna Borough,16.2,9.1,30.8,-3.3
Alaska,Nome Census Area,19.2,22.2,47.5,-1.7
Alaska,North Slope Borough,18.3,15.3,39.1,-11.6
Alaska,Northwest Arctic Borough,16.4,16.2,44.7,-5.3
Alaska,Sitka City and Borough,16.2,13.7,29.9,-4.4
Alaska,Southeast Fairbanks Census Area,17.6,12.3,32.0,-5.2
Alaska,Valdez-Cordova Census Area,18.7,15.4,34.3,-6.2
Alaska,Wade Hampton Census Area,23.0,10.8,54.6,0.5
Arizona,Apache County,19.8,19.6,49.3,7.4
Arizona,Arizona,14.5,3.0,32.4,2.9
Arizona,Cochise County,15.6,16.0,34.6,11.1
Arizona,Coconino County,15.5,7.1,32.5,7.6
Arizona,Gila County,16.7,1.2,37.3,1.3
Arizona,Graham County,16.2,14.0,43.9,8.4
Arizona,Greenlee County,19.4,18.8,42.5,5.8
Arizona,La Paz County,20.8,7.0,42.8,2.2
Arizona,Maricopa County,13.7,0.8,31.7,2.3
Arizona,Mohave County,18.4,3.2,35.6,-1.0
Arizona,Navajo County,15.6,6.4,38.0,6.9
Arizona,Pima County,14.8,5.0,31.3,5.1
Arizona,Pinal County,16.2,3.1,34.7,1.3
Arizona,Santa Cruz County,15.7,7.9,38.9,-1.3
Arizona,Yavapai County,16.3,6.5,29.4,0.4
Arizona,Yuma County,17.2,6.5,34.6,-5.0
Arkansas,Arkansas,15.8,25.1,33.3,6.3
Arkansas,Arkansas County,14.6,36.5,33.4,9.5
Arkansas,Ashley County,15.0,23.9,34.9,7.3
Arkansas,Baxter County,18.1,21.4,36.4,7.3
Arkansas,Benton County,13.0,19.8,28.6,6.5
Arkansas,Boone County,16.2,22.0,34.6,9.3
Arkansas,Bradley County,13.3,10.5,35.0,-1.6
Arkansas,Calhoun County,19.7,11.1,40.2,-2.3
Arkansas,Carroll County,17.7,15.4,37.4,7.2
Arkansas,Chicot County,16.9,28.5,36.2,8.5
Arkansas,Clark County,14.6,30.7,33.8,8.3
Arkansas,Clay County,16.3,31.4,37.3,10.7
Arkansas,Cleburne County,15.3,26.5,34.9,13.5
Arkansas,Cleveland County,17.2,17.1,37.5,2.9
Arkansas,Columbia County,14.7,26.9,32.6,5.3
Arkansas,Conway County,22.5,33.3,42.5,14.4
Arkansas,Craighead County,16.0,36.1,33.0,7.5
Arkansas,Crawford County,15.4,18.1,33.4,3.1
Arkansas,Crittenden County,15.7,31.6,31.5,8.1
Arkansas,Cross County,16.6,34.6,35.6,8.2
Arkansas,Dallas County,18.5,11.9,37.9,3.6
Arkansas,Desha County,17.2,22.0,36.9,4.9
Arkansas,Drew County,14.4,25.5,34.2,6.0
Arkansas,Faulkner County,15.3,31.5,30.8,6.0
Arkansas,Franklin County,19.1,17.7,40.4,4.8
Arkansas,Fulton County,16.7,24.4,34.5,5.3
Arkansas,Garland County,15.7,32.7,34.6,14.9
Arkansas,Grant County,15.2,23.1,31.9,0.1
Arkansas,Greene County,17.1,24.0,36.2,3.7
