State,Location,"Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*"
Alabama,United States,"298.31 (292.81, 304.05)","257.23 (251.82, 262.70)","252.70 (247.12, 258.27)"
Alabama,Alabama,"352.09 (344.74, 359.36)","310.55 (303.87, 317.53)","310.59 (303.44, 317.77)"
Alabama,"Autauga County, Alabama","368.83 (350.83, 387.85)","316.82 (299.06, 333.37)","316.36 (298.73, 334.72)"
Alabama,"Baldwin County, Alabama","308.99 (296.42, 322.99)","279.98 (268.54, 291.74)","272.04 (260.19, 284.03)"
Alabama,"Barbour County, Alabama","301.04 (283.89, 318.38)","264.63 (249.05, 280.85)","255.09 (238.51, 271.82)"
Alabama,"Bibb County, Alabama","409.25 (386.63, 432.58)","374.27 (352.26, 398.64)","378.09 (353.16, 402.74)"
Alabama,"Blount County, Alabama","347.79 (328.51, 366.27)","307.45 (291.00, 324.49)","307.90 (290.88, 324.10)"
Alabama,"Bullock County, Alabama","391.51 (363.95, 419.49)","344.74 (319.25, 373.49)","322.56 (296.51, 350.16)"
Alabama,"Butler County, Alabama","422.02 (398.50, 446.04)","377.33 (353.65, 400.78)","382.55 (357.04, 408.16)"
Alabama,"Calhoun County, Alabama","414.93 (397.79, 430.78)","371.19 (354.86, 386.76)","368.25 (352.75, 385.64)"
Alabama,"Chambers County, Alabama","366.22 (347.51, 386.16)","329.55 (312.85, 348.26)","326.33 (307.48, 345.66)"
Alabama,"Cherokee County, Alabama","349.86 (330.23, 372.00)","300.23 (280.49, 319.86)","301.07 (281.80, 321.10)"
Alabama,"Chilton County, Alabama","398.26 (378.01, 419.23)","351.97 (330.40, 370.43)","351.70 (331.24, 372.54)"
Alabama,"Choctaw County, Alabama","387.24 (363.11, 411.20)","354.33 (331.51, 378.38)","356.81 (332.12, 382.48)"
Alabama,"Clarke County, Alabama","361.11 (340.10, 382.87)","316.86 (299.47, 336.27)","313.40 (292.77, 334.39)"
Alabama,"Clay County, Alabama","419.05 (392.84, 445.92)","379.96 (354.84, 407.74)","390.37 (362.75, 421.43)"
Alabama,"Cleburne County, Alabama","400.22 (376.63, 427.60)","361.21 (337.24, 387.52)","360.18 (335.22, 385.70)"
Alabama,"Coffee County, Alabama","338.77 (321.11, 356.84)","304.79 (288.16, 321.81)","310.93 (293.55, 329.27)"
Alabama,"Colbert County, Alabama","348.79 (332.27, 365.23)","298.78 (283.02, 314.79)","308.32 (292.95, 324.82)"
