State,Area name,"Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
US,United States,12.0,27.0,28.9,32.1
AL,Alabama,13.8,30.8,29.9,25.5
AL,Autauga County,11.5,33.6,28.4,26.6
AL,Baldwin County,9.2,27.7,31.3,31.9
AL,Barbour County,26.8,35.6,26.0,11.6
AL,Bibb County,20.9,44.9,23.8,10.4
AL,Blount County,19.5,33.4,34.0,13.1
AL,Bullock County,25.3,40.3,22.3,12.1
AL,Butler County,15.0,45.2,23.7,16.1
AL,Calhoun County,15.6,32.8,33.2,18.5
AL,Chambers County,18.4,36.7,31.6,13.3
AL,Cherokee County,18.4,40.3,28.6,12.8
AL,Chilton County,18.2,44.4,24.6,12.7
AL,Choctaw County,18.6,37.7,31.8,11.9
AL,Clarke County,19.4,41.8,26.6,12.2
AL,Clay County,23.3,37.8,28.3,10.6
AL,Cleburne County,21.0,38.0,25.6,15.4
AL,Coffee County,14.1,27.2,35.9,22.8
AL,Colbert County,14.8,37.8,29.2,18.1
AL,Conecuh County,15.7,51.1,20.4,12.8
AL,Coosa County,20.0,40.3,26.9,12.8
AL,Covington County,16.6,37.3,30.8,15.3
AL,Crenshaw County,20.8,39.5,22.3,17.4
AL,Cullman County,18.4,34.1,33.6,13.9
AL,Dale County,13.9,32.3,35.7,18.1
AL,Dallas County,18.2,35.9,31.2,14.7
AL,DeKalb County,25.2,34.2,27.6,13.0
AL,Elmore County,13.4,32.5,29.1,25.1
AL,Escambia County,18.9,43.7,24.9,12.5
AL,Etowah County,15.4,32.9,33.9,17.8
AL,Fayette County,17.4,41.3,28.9,12.4
AL,Franklin County,22.8,36.6,26.6,14.0
AL,Geneva County,19.7,36.0,31.8,12.5
AL,Greene County,20.8,38.6,30.5,10.1
AL,Hale County,16.0,43.4,26.4,14.2
AL,Henry County,20.6,32.6,29.8,17.1
AL,Houston County,14.0,31.2,33.1,21.7
AL,Jackson County,16.8,41.0,28.2,14.0
AL,Jefferson County,9.9,26.4,30.3,33.4
AL,Lamar County,17.7,39.8,30.6,11.9
AL,Lauderdale County,12.6,36.0,27.9,23.5
AL,Lawrence County,20.7,41.2,25.5,12.6
AL,Lee County,9.1,23.7,31.8,35.3
AL,Limestone County,15.3,30.4,28.6,25.7
AL,Lowndes County,21.7,39.6,24.0,14.7
AL,Macon County,18.2,30.2,31.2,20.4
AL,Madison County,8.3,20.6,28.3,42.8
AL,Marengo County,16.2,38.0,29.8,16.1
AL,Marion County,20.4,34.8,32.0,12.8
AL,Marshall County,18.4,31.1,31.1,19.4
AL,Mobile County,13.5,34.0,29.3,23.2
AL,Monroe County,14.4,47.2,24.9,13.5
AL,Montgomery County,13.3,25.0,28.4,33.4
