FIPS,State,"County, State",2018 Food Insecurity Rate
1001,AL,"Autauga County, Alabama",15.6%
1003,AL,"Baldwin County, Alabama",12.9%
1005,AL,"Barbour County, Alabama",21.9%
1007,AL,"Bibb County, Alabama",15.1%
1009,AL,"Blount County, Alabama",13.6%
1011,AL,"Bullock County, Alabama",20.5%
1013,AL,"Butler County, Alabama",19.1%
1015,AL,"Calhoun County, Alabama",17.4%
1017,AL,"Chambers County, Alabama",16.4%
1019,AL,"Cherokee County, Alabama",15.6%
1021,AL,"Chilton County, Alabama",15.8%
1023,AL,"Choctaw County, Alabama",20.7%
1025,AL,"Clarke County, Alabama",21.1%
1027,AL,"Clay County, Alabama",15.9%
1029,AL,"Cleburne County, Alabama",17.5%
1031,AL,"Coffee County, Alabama",15.6%
1033,AL,"Colbert County, Alabama",16.4%
1035,AL,"Conecuh County, Alabama",19.5%
1037,AL,"Coosa County, Alabama",16.4%
1039,AL,"Covington County, Alabama",17.7%
1041,AL,"Crenshaw County, Alabama",16.6%
1043,AL,"Cullman County, Alabama",15.1%
1045,AL,"Dale County, Alabama",18.0%
1047,AL,"Dallas County, Alabama",22.7%
1049,AL,"DeKalb County, Alabama",16.6%
1051,AL,"Elmore County, Alabama",14.3%
1053,AL,"Escambia County, Alabama",19.4%
1055,AL,"Etowah County, Alabama",16.6%
1057,AL,"Fayette County, Alabama",18.3%
1059,AL,"Franklin County, Alabama",15.7%
1061,AL,"Geneva County, Alabama",19.0%
1063,AL,"Greene County, Alabama",26.1%
1065,AL,"Hale County, Alabama",20.7%
1067,AL,"Henry County, Alabama",15.1%
1069,AL,"Houston County, Alabama",16.9%
1071,AL,"Jackson County, Alabama",17.2%
1073,AL,"Jefferson County, Alabama",16.1%
1075,AL,"Lamar County, Alabama",18.3%
1077,AL,"Lauderdale County, Alabama",14.9%
1079,AL,"Lawrence County, Alabama",16.5%
1081,AL,"Lee County, Alabama",15.5%
1083,AL,"Limestone County, Alabama",14.1%
1085,AL,"Lowndes County, Alabama",23.4%
1087,AL,"Macon County, Alabama",20.2%
1089,AL,"Madison County, Alabama",13.6%
1091,AL,"Marengo County, Alabama",20.1%
1093,AL,"Marion County, Alabama",17.8%
1095,AL,"Marshall County, Alabama",16.2%
1097,AL,"Mobile County, Alabama",16.8%
1099,AL,"Monroe County, Alabama",21.9%
1101,AL,"Montgomery County, Alabama",17.8%
1103,AL,"Morgan County, Alabama",14.9%
1105,AL,"Perry County, Alabama",27.0%
1107,AL,"Pickens County, Alabama",19.7%
1109,AL,"Pike County, Alabama",18.8%
1111,AL,"Randolph County, Alabama",15.6%
1113,AL,"Russell County, Alabama",18.2%
1115,AL,"St. Clair County, Alabama",14.1%
1117,AL,"Shelby County, Alabama",10.6%
1119,AL,"Sumter County, Alabama",23.0%
1121,AL,"Talladega County, Alabama",17.7%
1123,AL,"Tallapoosa County, Alabama",17.5%
1125,AL,"Tuscaloosa County, Alabama",14.8%
1127,AL,"Walker County, Alabama",18.0%
1129,AL,"Washington County, Alabama",19.3%
1131,AL,"Wilcox County, Alabama",24.7%
1133,AL,"Winston County, Alabama",17.1%
2013,AK,"Aleutians East Borough, Alaska",11.6%
2016,AK,"Aleutians West Census Area, Alaska",11.3%
2020,AK,"Anchorage Municipality, Alaska",11.5%
2050,AK,"Bethel Census Area, Alaska",21.1%
2060,AK,"Bristol Bay Borough, Alaska",12.2%
2068,AK,"Denali Borough, Alaska",14.9%
2070,AK,"Dillingham Census Area, Alaska",16.1%
2090,AK,"Fairbanks North Star Borough, Alaska",11.5%
2100,AK,"Haines Borough, Alaska",13.3%
2105,AK,"Hoonah-Angoon Census Area, Alaska",15.5%
2110,AK,"Juneau City and Borough, Alaska",10.4%
2122,AK,"Kenai Peninsula Borough, Alaska",13.9%
2130,AK,"Ketchikan Gateway Borough, Alaska",13.1%
2150,AK,"Kodiak Island Borough, Alaska",12.3%
2158,AK,"Kusilvak Census Area, Alaska",28.0%
2164,AK,"Lake and Peninsula Borough, Alaska",17.3%
2170,AK,"Matanuska-Susitna Borough, Alaska",12.6%
2180,AK,"Nome Census Area, Alaska",19.1%
2185,AK,"North Slope Borough, Alaska",13.1%
2188,AK,"Northwest Arctic Borough, Alaska",21.2%
2195,AK,"Petersburg Borough, Alaska",13.8%
2198,AK,"Prince of Wales-Hyder Census Area, Alaska",17.8%
2220,AK,"Sitka City and Borough, Alaska",11.0%
2230,AK,"Skagway Municipality, Alaska",13.0%
2240,AK,"Southeast Fairbanks Census Area, Alaska",14.8%
2261,AK,"Valdez-Cordova Census Area, Alaska",11.9%
2275,AK,"Wrangell City and Borough, Alaska",13.2%
2282,AK,"Yakutat City and Borough, Alaska",11.9%
2290,AK,"Yukon-Koyukuk Census Area, Alaska",22.0%
4001,AZ,"Apache County, Arizona",22.6%
4003,AZ,"Cochise County, Arizona",14.4%
4005,AZ,"Coconino County, Arizona",14.3%
4007,AZ,"Gila County, Arizona",17.7%
4009,AZ,"Graham County, Arizona",14.6%
4011,AZ,"Greenlee County, Arizona",11.8%
4012,AZ,"La Paz County, Arizona",17.5%
4013,AZ,"Maricopa County, Arizona",12.1%
4015,AZ,"Mohave County, Arizona",16.8%
4017,AZ,"Navajo County, Arizona",20.2%
4019,AZ,"Pima County, Arizona",13.6%
4021,AZ,"Pinal County, Arizona",12.7%
4023,AZ,"Santa Cruz County, Arizona",15.3%
4025,AZ,"Yavapai County, Arizona",13.9%
4027,AZ,"Yuma County, Arizona",18.8%
5001,AR,"Arkansas County, Arkansas",19.3%
5003,AR,"Ashley County, Arkansas",19.6%
5005,AR,"Baxter County, Arkansas",16.3%
5007,AR,"Benton County, Arkansas",11.6%
5009,AR,"Boone County, Arkansas",15.9%
5011,AR,"Bradley County, Arkansas",19.6%
5013,AR,"Calhoun County, Arkansas",16.9%
5015,AR,"Carroll County, Arkansas",14.4%
5017,AR,"Chicot County, Arkansas",23.9%
5019,AR,"Clark County, Arkansas",17.5%
5021,AR,"Clay County, Arkansas",19.9%
5023,AR,"Cleburne County, Arkansas",16.1%
5025,AR,"Cleveland County, Arkansas",17.5%
5027,AR,"Columbia County, Arkansas",19.8%
5029,AR,"Conway County, Arkansas",18.5%
5031,AR,"Craighead County, Arkansas",16.8%
5033,AR,"Crawford County, Arkansas",16.0%
5035,AR,"Crittenden County, Arkansas",19.3%
5037,AR,"Cross County, Arkansas",17.7%
5039,AR,"Dallas County, Arkansas",17.8%
5041,AR,"Desha County, Arkansas",22.2%
5043,AR,"Drew County, Arkansas",18.2%
5045,AR,"Faulkner County, Arkansas",15.6%
5047,AR,"Franklin County, Arkansas",18.5%
5049,AR,"Fulton County, Arkansas",19.8%
5051,AR,"Garland County, Arkansas",17.6%
5053,AR,"Grant County, Arkansas",15.3%
5055,AR,"Greene County, Arkansas",17.3%
5057,AR,"Hempstead County, Arkansas",18.2%
5059,AR,"Hot Spring County, Arkansas",17.9%
5061,AR,"Howard County, Arkansas",16.7%
5063,AR,"Independence County, Arkansas",17.0%
5065,AR,"Izard County, Arkansas",18.2%
5067,AR,"Jackson County, Arkansas",20.9%
5069,AR,"Jefferson County, Arkansas",20.0%
5071,AR,"Johnson County, Arkansas",18.6%
5073,AR,"Lafayette County, Arkansas",19.9%
5075,AR,"Lawrence County, Arkansas",18.5%
5077,AR,"Lee County, Arkansas",22.1%
5079,AR,"Lincoln County, Arkansas",18.6%
5081,AR,"Little River County, Arkansas",18.0%
5083,AR,"Logan County, Arkansas",18.3%
5085,AR,"Lonoke County, Arkansas",14.0%
5087,AR,"Madison County, Arkansas",15.7%
5089,AR,"Marion County, Arkansas",18.5%
5091,AR,"Miller County, Arkansas",19.3%
5093,AR,"Mississippi County, Arkansas",21.6%
5095,AR,"Monroe County, Arkansas",22.3%
5097,AR,"Montgomery County, Arkansas",18.7%
5099,AR,"Nevada County, Arkansas",21.2%
5101,AR,"Newton County, Arkansas",15.7%
5103,AR,"Ouachita County, Arkansas",19.9%
5105,AR,"Perry County, Arkansas",17.6%
5107,AR,"Phillips County, Arkansas",25.6%
5109,AR,"Pike County, Arkansas",18.2%
5111,AR,"Poinsett County, Arkansas",19.3%
5113,AR,"Polk County, Arkansas",19.6%
5115,AR,"Pope County, Arkansas",16.8%
5117,AR,"Prairie County, Arkansas",17.2%
5119,AR,"Pulaski County, Arkansas",16.7%
5121,AR,"Randolph County, Arkansas",17.8%
5123,AR,"St. Francis County, Arkansas",21.6%
5125,AR,"Saline County, Arkansas",12.9%
5127,AR,"Scott County, Arkansas",18.6%
5129,AR,"Searcy County, Arkansas",18.9%
5131,AR,"Sebastian County, Arkansas",17.8%
5133,AR,"Sevier County, Arkansas",15.7%
5135,AR,"Sharp County, Arkansas",20.0%
5137,AR,"Stone County, Arkansas",19.7%
5139,AR,"Union County, Arkansas",18.0%
5141,AR,"Van Buren County, Arkansas",18.8%
5143,AR,"Washington County, Arkansas",13.8%
5145,AR,"White County, Arkansas",16.7%
5147,AR,"Woodruff County, Arkansas",21.5%
5149,AR,"Yell County, Arkansas",16.4%
6001,CA,"Alameda County, California",9.1%
6003,CA,"Alpine County, California",14.5%
6005,CA,"Amador County, California",10.9%
6007,CA,"Butte County, California",14.2%
6009,CA,"Calaveras County, California",12.2%
6011,CA,"Colusa County, California",13.8%
6013,CA,"Contra Costa County, California",8.5%
6015,CA,"Del Norte County, California",16.7%
6017,CA,"El Dorado County, California",9.1%
6019,CA,"Fresno County, California",15.2%
6021,CA,"Glenn County, California",14.2%
6023,CA,"Humboldt County, California",14.1%
6025,CA,"Imperial County, California",19.2%
6027,CA,"Inyo County, California",10.5%
6029,CA,"Kern County, California",14.3%
6031,CA,"Kings County, California",14.4%
6033,CA,"Lake County, California",15.7%
6035,CA,"Lassen County, California",12.5%
6037,CA,"Los Angeles County, California",11.4%
6039,CA,"Madera County, California",13.2%
6041,CA,"Marin County, California",7.4%
6043,CA,"Mariposa County, California",13.4%
6045,CA,"Mendocino County, California",13.5%
6047,CA,"Merced County, California",15.0%
6049,CA,"Modoc County, California",14.7%
6051,CA,"Mono County, California",8.5%
6053,CA,"Monterey County, California",10.5%
6055,CA,"Napa County, California",7.9%
6057,CA,"Nevada County, California",10.7%
6059,CA,"Orange County, California",8.5%
6061,CA,"Placer County, California",8.3%
6063,CA,"Plumas County, California",13.6%
6065,CA,"Riverside County, California",10.0%
6067,CA,"Sacramento County, California",11.9%
6069,CA,"San Benito County, California",7.5%
6071,CA,"San Bernardino County, California",10.7%
6073,CA,"San Diego County, California",9.6%
6075,CA,"San Francisco County, California",10.2%
6077,CA,"San Joaquin County, California",12.4%
6079,CA,"San Luis Obispo County, California",9.2%
6081,CA,"San Mateo County, California",6.8%
6083,CA,"Santa Barbara County, California",9.5%
6085,CA,"Santa Clara County, California",7.2%
6087,CA,"Santa Cruz County, California",10.3%
6089,CA,"Shasta County, California",14.2%
6091,CA,"Sierra County, California",10.5%
6093,CA,"Siskiyou County, California",16.1%
6095,CA,"Solano County, California",10.0%
6097,CA,"Sonoma County, California",9.0%
6099,CA,"Stanislaus County, California",12.4%
6101,CA,"Sutter County, California",13.8%
6103,CA,"Tehama County, California",15.8%
6105,CA,"Trinity County, California",16.1%
6107,CA,"Tulare County, California",15.9%
6109,CA,"Tuolumne County, California",12.8%
6111,CA,"Ventura County, California",8.2%
6113,CA,"Yolo County, California",10.6%
6115,CA,"Yuba County, California",14.4%
8001,CO,"Adams County, Colorado",9.3%
8003,CO,"Alamosa County, Colorado",14.6%
8005,CO,"Arapahoe County, Colorado",9.2%
8007,CO,"Archuleta County, Colorado",10.6%
8009,CO,"Baca County, Colorado",14.3%
8011,CO,"Bent County, Colorado",16.5%
8013,CO,"Boulder County, Colorado",9.0%
8014,CO,"Broomfield County, Colorado",7.5%
8015,CO,"Chaffee County, Colorado",10.7%
8017,CO,"Cheyenne County, Colorado",9.7%
8019,CO,"Clear Creek County, Colorado",8.1%
8021,CO,"Conejos County, Colorado",13.8%
8023,CO,"Costilla County, Colorado",18.0%
8025,CO,"Crowley County, Colorado",17.9%
8027,CO,"Custer County, Colorado",12.7%
8029,CO,"Delta County, Colorado",14.1%
8031,CO,"Denver County, Colorado",11.0%
8033,CO,"Dolores County, Colorado",13.1%
8035,CO,"Douglas County, Colorado",5.9%
8037,CO,"Eagle County, Colorado",6.2%
8039,CO,"Elbert County, Colorado",6.7%
8041,CO,"El Paso County, Colorado",10.9%
8043,CO,"Fremont County, Colorado",14.0%
8045,CO,"Garfield County, Colorado",8.1%
8047,CO,"Gilpin County, Colorado",6.8%
8049,CO,"Grand County, Colorado",8.9%
8051,CO,"Gunnison County, Colorado",9.6%
8053,CO,"Hinsdale County, Colorado",13.0%
8055,CO,"Huerfano County, Colorado",15.0%
8057,CO,"Jackson County, Colorado",10.2%
