State,area_name,Unemployment_rate_2016,Unemployment_rate_2019,Unemployment_chg_2016-2019
US,United States,4.9,3.7,-1.2
AL,Alabama,5.8,3,-2.8
AL,"Autauga County, AL",5.1,2.7,-2.4
AL,"Baldwin County, AL",5.3,2.7,-2.6
AL,"Barbour County, AL",8.3,3.8,-4.5
AL,"Bibb County, AL",6.4,3.1,-3.3
AL,"Blount County, AL",5.4,2.7,-2.7
AL,"Bullock County, AL",6.8,3.6,-3.2
AL,"Butler County, AL",6.9,3.6,-3.3
AL,"Calhoun County, AL",6.5,3.5,-3
AL,"Chambers County, AL",5.4,2.9,-2.5
AL,"Cherokee County, AL",5,2.9,-2.1
AL,"Chilton County, AL",5.5,2.7,-2.8
AL,"Choctaw County, AL",8.5,4.7,-3.8
AL,"Clarke County, AL",10.8,5.8,-5
AL,"Clay County, AL",5.9,3,-2.9
AL,"Cleburne County, AL",6,3.2,-2.8
AL,"Coffee County, AL",5.8,2.9,-2.9
AL,"Colbert County, AL",6.9,3.7,-3.2
AL,"Conecuh County, AL",8.4,4,-4.4
AL,"Coosa County, AL",6,3,-3
AL,"Covington County, AL",6.7,3.4,-3.3
AL,"Crenshaw County, AL",5.8,2.8,-3
AL,"Cullman County, AL",5,2.6,-2.4
AL,"Dale County, AL",5.8,3.1,-2.7
AL,"Dallas County, AL",9.2,5.5,-3.7
AL,"DeKalb County, AL",6,2.8,-3.2
AL,"Elmore County, AL",4.7,2.6,-2.1
AL,"Escambia County, AL",6.6,3.5,-3.1
AL,"Etowah County, AL",5.9,3.3,-2.6
AL,"Fayette County, AL",6.7,3.1,-3.6
AL,"Franklin County, AL",5.9,2.8,-3.1
AL,"Geneva County, AL",5.8,2.9,-2.9
AL,"Greene County, AL",9.9,5.6,-4.3
AL,"Hale County, AL",7.6,3.9,-3.7
AL,"Henry County, AL",6.5,3.6,-2.9
AL,"Houston County, AL",5.8,3,-2.8
AL,"Jackson County, AL",6.3,3.3,-3
AL,"Jefferson County, AL",5.7,2.9,-2.8
AL,"Lamar County, AL",5.6,3.1,-2.5
AL,"Lauderdale County, AL",6.3,3.3,-3
AL,"Lawrence County, AL",6.9,3.1,-3.8
AL,"Lee County, AL",5.2,2.7,-2.5
AL,"Limestone County, AL",5.2,2.6,-2.6
AL,"Lowndes County, AL",10.5,5.7,-4.8
AL,"Macon County, AL",7.6,4.3,-3.3
AL,"Madison County, AL",5.1,2.5,-2.6
AL,"Marengo County, AL",7.1,3.5,-3.6
AL,"Marion County, AL",6.6,3.4,-3.2
AL,"Marshall County, AL",5.3,2.5,-2.8
AL,"Mobile County, AL",6.6,3.7,-2.9
AL,"Monroe County, AL",9,4.9,-4.1
AL,"Montgomery County, AL",5.6,3.1,-2.5
AL,"Morgan County, AL",5.5,2.6,-2.9
AL,"Perry County, AL",10.3,5.2,-5.1
AL,"Pickens County, AL",6.8,3.5,-3.3
AL,"Pike County, AL",6.5,3.3,-3.2
AL,"Randolph County, AL",5.6,3,-2.6
AL,"Russell County, AL",5.5,2.9,-2.6
AL,"St. Clair County, AL",5.2,2.7,-2.5
AL,"Shelby County, AL",4.3,2.2,-2.1
AL,"Sumter County, AL",7.7,4.5,-3.2
AL,"Talladega County, AL",6.6,3.4,-3.2
AL,"Tallapoosa County, AL",5.6,3,-2.6
AL,"Tuscaloosa County, AL",5.6,2.7,-2.9
AL,"Walker County, AL",7.4,3.3,-4.1
AL,"Washington County, AL",8.6,4.6,-4
AL,"Wilcox County, AL",14.4,7.1,-7.3
AL,"Winston County, AL",7.1,3.3,-3.8
AK,Alaska,6.9,6.1,-0.8
AK,"Aleutians East Borough, AK",2.7,2.8,0.1
AK,"Aleutians West Census Area, AK",3.3,3.6,0.3
AK,"Anchorage Borough/municipality, AK",5.5,5.1,-0.4
AK,"Bethel Census Area, AK",14.2,12.9,-1.3
AK,"Bristol Bay Borough, AK",7,6.1,-0.9
AK,"Denali Borough, AK",9.1,8.5,-0.6
AK,"Dillingham Census Area, AK",9.6,8.1,-1.5
AK,"Fairbanks North Star Borough, AK",5.9,5.4,-0.5
AK,"Haines Borough, AK",10.3,8.9,-1.4
AK,"Hoonah-Angoon Census Area, AK",11.8,11.4,-0.4
AK,"Juneau Borough/city, AK",4.5,4.4,-0.1
AK,"Kenai Peninsula Borough, AK",8.5,6.8,-1.7
AK,"Ketchikan Gateway Borough, AK",6.5,6.2,-0.3
AK,"Kodiak Island Borough, AK",5.1,5.6,0.5
AK,"Kusilvak Census Area, AK",21.6,19.3,-2.3
AK,"Lake and Peninsula Borough, AK",12.5,9.9,-2.6
AK,"Matanuska-Susitna Borough, AK",8.2,6.9,-1.3
AK,"Nome Census Area, AK",12.7,10.9,-1.8
AK,"North Slope Borough, AK",6.8,6.4,-0.4
AK,"Northwest Arctic Borough, AK",16,14,-2
AK,"Petersburg Borough, AK",9,8.7,-0.3
AK,"Prince of Wales-Hyder Census Area, AK",12.2,10.1,-2.1
AK,"Prince of Wales-Outer Ketchikan Census Area, AK",,,0
AK,"Sitka Borough/city, AK",4.6,4.2,-0.4
AK,"Skagway Municipality, AK",11.2,9.2,-2
AK,"Skagway-Hoonah-Angoon Census Area, AK",,,0
AK,"Southeast Fairbanks Census Area, AK",10.8,9,-1.8
AK,"Valdez-Cordova Census Area, AK",8.6,7.5,-1.1
AK,"Wrangell Borough/city, AK",7.5,7.7,0.2
