State,County,PovertyRate,MedianHouseholdIncome
US,United States,12.3,"65,712"
AL,Alabama,15.6,"51,771"
AL,Autauga County,12.1,"58,233"
AL,Baldwin County,10.1,"59,871"
AL,Barbour County,27.1,"35,972"
AL,Bibb County,20.3,"47,918"
AL,Blount County,16.3,"52,902"
AL,Bullock County,30,"31,906"
AL,Butler County,21.6,"39,944"
AL,Calhoun County,17.2,"47,747"
AL,Chambers County,19.6,"42,015"
AL,Cherokee County,15.9,"45,982"
AL,Chilton County,16,"49,692"
AL,Choctaw County,22.6,"39,808"
AL,Clarke County,18.4,"43,822"
AL,Clay County,16.6,"40,562"
AL,Cleburne County,13.3,"51,276"
AL,Coffee County,15,"57,299"
AL,Colbert County,14.6,"46,683"
AL,Conecuh County,22.2,"41,539"
AL,Coosa County,17.1,"42,024"
AL,Covington County,17.2,"44,836"
AL,Crenshaw County,16.8,"43,309"
AL,Cullman County,12.2,"50,897"
AL,Dale County,18.1,"45,120"
AL,Dallas County,26,"34,034"
AL,DeKalb County,18.2,"44,277"
AL,Elmore County,11.4,"62,310"
AL,Escambia County,20.5,"42,712"
AL,Etowah County,18.8,"43,047"
AL,Fayette County,17,"44,212"
AL,Franklin County,16.1,"44,874"
AL,Geneva County,16.1,"43,089"
AL,Greene County,31.7,"28,699"
AL,Hale County,20.5,"40,745"
AL,Henry County,17.2,"48,597"
AL,Houston County,19.4,"50,138"
AL,Jackson County,14.7,"44,322"
AL,Jefferson County,16.2,"54,127"
AL,Lamar County,15.3,"42,686"
AL,Lauderdale County,15.7,"48,188"
AL,Lawrence County,17.7,"47,797"
AL,Lee County,15.5,"54,160"
AL,Limestone County,12,"64,729"
AL,Lowndes County,26.6,"33,930"
AL,Macon County,29.3,"34,281"
AL,Madison County,11.5,"68,609"
AL,Marengo County,24.8,"38,838"
AL,Marion County,16.9,"44,675"
AL,Marshall County,15.7,"48,913"
AL,Mobile County,17.7,"49,492"
AL,Monroe County,23.3,"40,005"
AL,Montgomery County,15.8,"52,711"
AL,Morgan County,13.7,"54,355"
AL,Perry County,33.9,"29,572"
AL,Pickens County,24.3,"40,249"
AL,Pike County,21.8,"41,271"
AL,Randolph County,17.5,"42,922"
AL,Russell County,18.9,"43,670"
AL,St. Clair County,11.2,"65,403"
