state,census_division,census_region,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1995,1990
Alabama,East South Central,South,7.1478,7.3515,7.8068,7.8178,8.2,8.4,8.2,8.3,8.6,8.9,9.2,9.2,9.4,9.6,9.9,9.4,10.1,10.8,9.8,10.6
Alaska,Pacific,West,7.1034,7.4076,7.5088,7.2939,7.2,7.8,8,7.8,8.4,8.5,8.2,8.2,8.5,8.1,8.3,8.1,8.9,8.6,9,10.2
Arizona,Mountain,West,5.9305,5.9225,5.7804,5.4011,5.6,5.7,5.9,5.6,6,6.4,6.5,6.6,6.7,6.5,6.7,7.6,7.5,8.2,8.8,10
Arkansas,West South Central,South,9.861,10.0403,10.112,9.7511,10.9,10.4,10.8,10.7,10.6,12,12.4,12.9,13.4,13.4,14.3,14.3,15.4,14.8,14.4,15.3
California,Pacific,West,6.4636,6.185,6.4415,6.4605,6,5.8,5.8,5.8,6.7,6.2,6.3,6.4,6.4,6.1,6.2,6.5,5.8,6.4,6.3,7.9
Colorado,Mountain,West,7.4254,6.7918,7.0616,6.4527,6.8,7,6.9,6.9,7.4,7.1,7.2,7.6,7.4,7.8,8,8.2,8.3,8.2,9,9.8
Connecticut,New England,Northeast,5.6179,5.292,5.3688,5.021,5.2,5.5,5.6,5.9,5.4,5.5,5.5,5.8,5.8,5.5,5.7,5.4,5.7,5.8,6.6,7.9
Delaware,South Atlantic,South,5.6131,5.7129,6.0228,6.572,5.8,5.2,5.2,5.4,5.5,5.7,5.9,5.9,6.1,6,6.4,6.5,6.5,6.7,7.3,8.4
District of Columbia,,,8.1492,8.2204,11.8213,10.7913,8.4,8.7,7.6,4.7,4.1,4.2,4,4.1,5.2,5.1,5.1,6.2,4.9,6.6,6.1,8.2
Florida,South Atlantic,South,8.126,8.2344,7.3014,7.0096,7.2,7.4,7.3,7.5,8,8.5,8.6,8.9,9,9,9.4,9.3,8.9,8.7,9.9,10.9
Georgia,South Atlantic,South,6.754,6.2004,,,6.5,6.6,7.3,6.6,6,6.8,7.3,7,7.9,7,6.5,6.1,6.8,7.8,8.4,10.3
Hawaii,Pacific,West,15.5556,15.9402,17.7027,16.2942,17.5,17.6,17.6,17.2,19.1,20.8,21.9,22.6,22.6,22,20.8,19.6,20.6,18.9,15.7,16.4
Idaho,Mountain,West,8.0778,8.1514,8.366,8.1786,8.2,8.6,8.8,8.9,9.5,10,10.1,10.5,10.8,10.9,11,11.2,10.8,12.1,13.1,13.9
Illinois,East North Central,Midwest,5.3575,5.8809,6.1691,5.3941,5.8,5.6,5.7,5.7,5.9,6.1,6.2,5.9,6.2,6.5,6.6,7.2,6.9,7,6.9,8.8
Indiana,East North Central,Midwest,6.9354,6.8565,7.08,6.6075,6.7,6.8,6.3,7.9,8,7,7,6.9,7.8,7.1,7.9,7.9,7.9,8.1,8.6,9.6
Iowa,West North Central,Midwest,6.1496,6.255,6.8639,7.3909,6.8,6.7,6.9,7,6.5,6.6,6.7,6.9,6.9,6.9,7,7.1,6.9,7.9,7.7,9
Kansas,West North Central,Midwest,6.2109,5.9365,6.1019,5.9845,6.3,6.3,6.4,6.4,6.7,6.8,6.8,6.8,7,6.9,7.3,7.5,8.3,7.1,8.5,9.2
Kentucky,East South Central,South,7.3794,7.1725,6.9417,7.2787,7.2,7.5,7.4,7.6,7.9,7.8,8.4,8.7,8.8,9.1,9,9,9.8,10.9,12.2,13.5
Louisiana,West South Central,South,6.1064,6.7771,6.893,6.3708,5.7,6.4,6.9,7.1,6.8,7.5,,8,8,8.2,8.1,8.4,9.1,9.1,9.3,9.6
Maine,New England,Northeast,7.6404,7.6106,7.7453,8.3106,7.3,7.2,7.1,7.1,7.4,7.4,7.8,8.2,8.6,8.4,8.4,8.6,8.8,8.6,8.7,9.7
Maryland,South Atlantic,South,6.3084,6.1872,6.4616,6.8238,5.6,5.8,5.7,5.8,5.9,6.5,6.6,6.9,6.9,6.9,7.1,7,7.5,7.5,8.4,9.7
Massachusetts,New England,Northeast,5.7771,5.497,5.6048,5.5014,5.5,5.5,5.6,5.6,5.7,5.9,5.9,6.2,6.5,5.6,5.9,6.2,5.8,6.2,7.1,7.9
Michigan,East North Central,Midwest,5.9352,5.9849,5.7591,5.8123,5.6,5.7,5.5,5.4,5.6,5.7,5.9,6.1,6.2,6.3,6.5,6.7,6.7,6.8,7.3,8.2
