Player,PTS,salary_2017_in_millions
Alan Williams,29,6000000
Pat Connaughton,36,1471382
Nikola Pekovic,54,11600000
Spencer Dinwiddie,58,1524305
Udonis Haslem,59,2328652
Briante Weber,62,183129
Caron Butler,63,517220
Jarell Eddie,63,183482
Lucas Nogueira,65,2947305
Jeremy Evans,71,50000
Terry Rozier,72,1988520
Axel Toupane,76,25000
Brandan Wright,83,5179760
K.J. McDaniels,89,100000
Michael Kidd-Gilchrist,89,13000000
Delon Wright,103,1645200
Cristiano Felicio,105,7843500
Jordan Farmar,110,510921
Chris McCullough,112,1471382
Reggie Bullock,122,2500000
Nick Collison,123,2328652
Joakim Noah,124,17765000
Salah Mejri,125,1471382
Tarik Black,133,3290000
Montrezl Harrell,140,1471382
C.J. Watson,142,333334
Josh McRoberts,150,6021175
Jarell Martin,153,1471382
Joe Young,154,1471382
Tyus Jones,156,1471382
Rondae Hollis-Jefferson,167,1471382
Glenn Robinson,171,1524305
JaVale McGee,172,2116955
Willie Reed,182,1577230
Mike Muscala,195,5000000
Channing Frye,196,7420912
Johnny O'Bryant,200,1524305
Shabazz Napier,203,2361360
Chris Johnson,205,25000
Tyler Ennis,206,1524305
Justin Anderson,208,1579440
Jeff Withey,217,1577320
Rashad Vaughn,217,2055298
Mike Dunleavy,222,1662500
Channing Frye,229,7420912
Kyle Singler,231,4666500
Ian Clark,236,1577230
Kelly Oubre,236,2093040
Troy Daniels,242,3408520
Solomon Hill,246,12236535
Dewayne Dedmon,255,6000000
Michael Beasley,255,2116955
Jusuf Nurkic,263,2947305
Omer Asik,269,10595505
Norman Powell,273,1471382
Anderson Varejao,276,1913345
Cameron Payne,283,2203440
Noah Vonleh,283,3505233
DeMarre Carroll,286,14800000
James Johnson,287,13954000
Richaun Holmes,287,1471382
Jason Thompson,294,945126
Boban Marjanovic,297,7000000
Jameer Nelson,299,6998921
Seth Curry,299,3028410
Brandon Rush,305,119602
Quincy Acy,307,1709538
Nemanja Bjelica,308,3949999
Kyle O'Quinn,309,4087500
Iman Shumpert,311,10337079
Miles Plumlee,314,12500000
Tyler Johnson,314,5881260
James Ennis,318,3028410
Festus Ezeli,320,333334
Tim Hardaway,326,16500000
Luke Babbitt,327,1974159
Cole Aldrich,328,7300000
Jonathon Simmons,331,6300000
Ronnie Price,331,2442455
Andre Roberson,337,9259259
Tony Snell,338,9821429
Jonas Jerebko,340,4000000
Spencer Hawes,340,6021175
Josh Richardson,341,1471382
Joe Ingles,342,14136364
Larry Nance,349,1471382
Kyle Anderson,350,2151704
Alexis Ajinca,352,4961798
Tyler Zeller,364,1709538
Andrew Bogut,375,2328652
Tyreke Evans,379,3290000
Anthony Tolliver,383,5290000
Andrew Nicholson,384,2844429
Nick Young,392,5192000
Vince Carter,395,8000000
John Henson,397,11422536
Dwight Powell,399,9003125
Beno Udrih,410,25000
Richard Jefferson,410,4828652
Jarrett Jack,411,2328652
Alec Burks,412,10845506
Paul Pierce,417,1096080
Jason Terry,422,2328652
Channing Frye,425,7420912
Jerian Grant,426,1713840
Leandro Barbosa,433,500000
Bobby Portis,436,1516320
E'Twaun Moore,443,8445024
Bismack Biyombo,454,17000000
Andre Iguodala,457,14814815
Trevor Booker,463,9125000
Willie Cauley-Stein,463,3704160
Mike Scott,464,1709538
